firstName,total,female,male,prFemale
Clas-Göran,5,0,5,0.0
Marcia,2,2,0,1.0
Valda,2,2,0,1.0
Backa,1,0,1,0.0
Ann-Marget,8,8,0,1.0
Öivind,1,0,1,0.0
Kamran,18,0,18,0.0
Khaled,2,0,2,0.0
Aino,13,13,0,1.0
Suada,4,4,0,1.0
Zouheyr,1,0,1,0.0
PerÅke,2,0,2,0.0
Lars-Stellan,1,0,1,0.0
Steinar,6,0,6,0.0
Vi,3,0,3,0.0
Detlef,3,0,3,0.0
Tove,102,102,0,1.0
Willy,48,0,48,0.0
Winfried,1,0,1,0.0
Aili,1,1,0,1.0
Karlis,6,0,6,0.0
Franz,3,0,3,0.0
Kathrin,14,14,0,1.0
Lembit,1,0,1,0.0
Alli,2,2,0,1.0
Mattis,9,0,9,0.0
Hannele,3,3,0,1.0
Anna-Karin,235,235,0,1.0
Reneé,18,18,0,1.0
Aslim,2,2,0,1.0
John-Gunnar,1,0,1,0.0
Fikret,10,0,10,0.0
Gösta,295,0,295,0.0
Cenita,2,2,0,1.0
Xanna,2,2,0,1.0
Raul,10,0,10,0.0
Hamid,15,0,15,0.0
Ewa,672,672,0,1.0
Nazar,2,0,2,0.0
Zaara,1,1,0,1.0
Oddleif,1,0,1,0.0
Bengt-Jörgen,1,0,1,0.0
Annéa,1,1,0,1.0
Visar,2,0,2,0.0
Rita,66,66,0,1.0
Valerian,1,0,1,0.0
Mery,24,24,0,1.0
Mary-Ann,3,3,0,1.0
Jovan,2,0,2,0.0
Mário,3,0,3,0.0
Colm,9,0,9,0.0
Nisse,22,0,22,0.0
Solveig,284,284,0,1.0
Solgun,2,2,0,1.0
Esben,1,0,1,0.0
Inga-Karin,2,2,0,1.0
Maher,38,0,38,0.0
Inez,25,25,0,1.0
Chadia,2,2,0,1.0
Norton,2,0,2,0.0
Anti,3,0,3,0.0
Nils-Gunnar,34,0,34,0.0
Abuarisheh,3,0,3,0.0
Sheneh,4,4,0,1.0
Angela,43,43,0,1.0
Birgita,1,1,0,1.0
Syle,7,0,7,0.0
Agda,3,3,0,1.0
Aleksandar-Pal,6,0,6,0.0
Junita,8,8,0,1.0
Yester,2,2,0,1.0
Lotten,42,42,0,1.0
Elwy,2,2,0,1.0
Therés,2,2,0,1.0
Thérèse,11,11,0,1.0
Svenerik,2,0,2,0.0
AnnBritt,11,11,0,1.0
Lowisa,12,12,0,1.0
Mahin,6,6,0,1.0
Karmen,1,1,0,1.0
Keller,1,0,1,0.0
Sven-Erick,7,0,7,0.0
Niosha,2,2,0,1.0
Rauger,1,0,1,0.0
Al,2,0,2,0.0
Sahadet,21,21,0,1.0
Crispin,6,0,6,0.0
Octavio,3,0,3,0.0
Robertho,2,0,2,0.0
Elina,74,74,0,1.0
Helena-Maria,5,5,0,1.0
Mosa,9,0,9,0.0
Inger-Karin,12,12,0,1.0
Sigrid,22,22,0,1.0
Lilliane,3,3,0,1.0
Gadha,12,12,0,1.0
Sven-Ola,1,0,1,0.0
Eva-Lisa,12,12,0,1.0
Kent-Ove,4,0,4,0.0
Margaretha,368,368,0,1.0
Yanina,2,2,0,1.0
Wallis,3,0,3,0.0
Carl,762,0,762,0.0
Conrad,1,0,1,0.0
Nissan,3,3,0,1.0
Kaldi,2,2,0,1.0
Karl-Gösta,3,0,3,0.0
Esbjörn,25,0,25,0.0
Bente,18,18,0,1.0
Sarchel,2,0,2,0.0
Cynthian,2,2,0,1.0
Margarita,14,14,0,1.0
Jean-Pierre,2,0,2,0.0
Jasem,3,0,3,0.0
Arie,1,0,1,0.0
Karla,4,4,0,1.0
Anne-Margret,10,10,0,1.0
Shkurte,1,1,0,1.0
Käll,1,0,1,0.0
Armen,2,0,2,0.0
Davinder,2,0,2,0.0
Regis,2,0,2,0.0
Elizabet,4,4,0,1.0
Ragnhild,40,40,0,1.0
Anne-Cathrine,5,5,0,1.0
Abdo,7,0,7,0.0
Zeinab,3,3,0,1.0
Shorish,1,0,1,0.0
Lageholm,1,1,0,1.0
Lars-Donald,2,0,2,0.0
Niila,1,0,1,0.0
IngBritt,3,3,0,1.0
Derly,2,2,0,1.0
Orshina,2,2,0,1.0
Laurentiu,4,0,4,0.0
Kamel,2,0,2,0.0
Junette,3,3,0,1.0
Suat,5,5,0,1.0
Jerome,1,0,1,0.0
Istvan,2,0,2,0.0
Ole-Jörgen,6,0,6,0.0
Cécile,2,2,0,1.0
