firstName,total,female,male
OLGMAR,1,0,1
VENIS,2,1,0
DILZA,78,71,0
JEANETI,2,2,0
AVAÍ,2,0,2
EUFRAN,1,0,1
NEUZITO,2,0,2
JOADA,1,1,0
IRAUDENIL,2,2,0
WALMIR,392,0,357
JERUZALÉM,1,0,1
TAYLOR,15,0,13
EDIVIGES,1,0,1
DEIZELUCIA,2,2,0
WERICKSON,1,0,1
CERELEY,2,2,0
NEIDIVALDO,2,0,2
ILARINDO,3,0,3
GEDEMIRO,3,0,3
FELISBINA,3,2,0
MARCIACLEIDE,1,0,0
TICIANNE,1,0,0
CLEYD,1,1,0
LELIDES,2,2,0
ADAVIO,1,0,1
OVILDA,1,1,0
CARYNA,1,1,0
MICHELANGELO,9,0,8
CLAUDEANY,1,1,0
MARIAZINHA,6,5,0
DAMALHER,1,0,1
JOSIALDO,3,0,3
ADONILDO,5,0,5
ALONIO,4,0,4
ATAHALPA,1,0,1
ALFÉU,1,0,1
NAUM,13,0,12
GELOCI,1,0,1
ALEXEY,4,0,3
ERLICE,2,2,0
JUCICLEIDE,13,12,1
LEONER,2,0,2
ELEONARA,3,3,0
ASTROLANGE,1,1,0
KLEYDSON,3,0,3
CUNNLUGN,1,1,0
WANQLEIDE,1,0,1
SIBYLLE,1,1,0
EPIFÂNIA,1,0,0
ADELVANIA,2,2,0
DNILSON,2,0,2
POLIANO,2,0,2
EDMILZELEIA,1,1,0
ELESTIN,1,0,1
SANT´ANA,2,2,0
JAÇYRA,1,1,0
BERVELI,1,0,1
RUHAMA,1,1,0
RENIELLI,1,1,0
ANATALÍCIO,2,0,2
ELICARDO,1,0,1
YASUMA,1,0,1
IZANIRA,1,1,0
GITÂNIA,1,1,0
FALUBIA,1,1,0
ELISE,14,14,0
FERDINAD,1,0,1
ROQUELANDE,1,0,1
NINA,26,21,0
DONIDIO,1,0,1
LENIVAL,5,0,5
CARMOZINO,6,0,4
JUELIO,1,0,1
ALEIMAR,1,0,1
LÉIA,28,28,0
DOSTRELINA,1,1,0
SUNAIDE,1,1,0
WILMAURO,3,0,3
JAADIEL,2,0,1
AMOZIO,3,0,3
DEUSIRLENE,1,1,0
SEBARTIANA,1,1,0
JOSCELENO,1,0,1
RUIBRAN,1,0,1
LENORMAM,1,0,1
IANE,19,13,3
KEANANIAS,1,0,1
COBIAS,1,0,1
ILDERLEI,4,0,2
LUCILINDA,1,1,0
DEMILDO,1,0,1
REUEL,8,0,6
JOSSIMARIA,3,3,0
VAILSO,1,0,1
JOADVAN,1,0,1
ADOLF,5,0,4
DIOGENS,3,0,3
JARBES,1,0,1
JOYUSON,3,0,3
CLANÚZIA,1,1,0
MARAJÓ,1,0,1
LAÉRCIA,1,1,0
NERSI,1,0,1
ISMA,1,1,0
ELIEZILDA,1,1,0
FILOTEIA,3,3,0
JANELUCE,2,2,0
ALIS,2,0,2
ROSELANGE,2,2,0
WANIELLE,1,1,0
RONILCE,7,7,0
ROSILANDES,1,1,0
CLEUSI,4,4,0
ARLÊNIO,1,0,1
SAUDIR,1,0,0
DELFINO,92,0,86
BIANCHI,2,0,2
MIRGON,4,0,4
WALEZKA,1,0,0
GERLIUSON,2,0,2
HENILTON,5,0,5
EVERILSON,4,0,4
GENY,92,90,1
WILSELIANI,1,1,0
ODAILTON,19,0,19
JAIMIGUEL,2,0,2
MARYTZ,6,3,0
ANTUÉRPIO,1,0,1
HALBERT,1,0,1
DIOKENEDE,1,0,1
CIDICLECIA,1,1,0
NEOCADIO,1,0,1
JOSILEDE,1,0,0
CRISTENRAU,1,0,1
FRANCINER,2,0,2
OSIRIO,4,0,4
ALANEIDE,1,1,0
DAIRÓ,2,0,2
VALDERISE,4,4,0
JUSCEMOM,2,0,2
VAGNEY,3,0,3
CILOTE,1,1,0
EDELZA,5,5,0
ERINALDA,11,10,0
CALILO,4,0,4
ADEGILSON,13,0,13
AVELA,2,0,2
AMARIEL,1,0,1
GEDELIAS,4,0,4
CHRISTOVAO,1,0,1
JÂMIO,1,0,1
ALEIDO,5,0,5
KLÉBIA,2,2,0
ELIEKSON,1,0,1
GENEVAM,1,1,0
GIDASIO,5,0,5
BEZALIEL,16,0,14
KLEYTON,17,0,16
LISELI,1,1,0
TROPI,1,0,1
FRIDEBERTO,1,0,1
AMANDHA,1,0,0
KALILKA,1,1,0
AMARITO,1,0,1
LUCINALVO,1,0,1
GERCENILDE,2,2,0
IRANEDES,1,1,0
ÁTILO,1,0,1
CLEUSENITA,1,1,0
ENARIA,1,1,0
TEMISSIO,1,0,1
GERALDELI,2,0,2
TALITHA,6,5,0
SODÔNIA,1,1,0
DUSSIVALDO,1,0,1
ELMARIA,1,0,0
NEUMARA,1,1,0
EULE,1,0,1
IONEZ,2,2,0
OZEILDO,2,0,2
DINORACI,1,1,0
VALESCA,10,10,0
ANALEUDO,1,0,1
JILCÉLIA,1,1,0
DERIVA,1,1,0
MANOELZA,4,3,1
IZAM,1,0,1
ROUBERT,1,0,1
JEFFER,7,0,5
ADAUNAIR,1,0,1
TOGO,1,0,1
DEOSDÉRIO,1,0,1
ABINADABE,8,4,3
ADVAR,1,0,1
EVOTI,1,0,1
NAGIR,1,0,1
RIGLEI,4,0,4
LIVARCIR,1,0,1
QUERUBIN,1,0,1
DEUZUITES,5,4,0
HOLTON,2,0,2
DASNESE,2,0,2
ELEOMEA,2,0,0
KAROLYNY,1,1,0
BETIZA,2,2,0
ISVANIL,1,0,1
ADELUZIA,1,0,0
MARLUCID,1,1,0
OSMERIO,1,0,1
