"firstName","total","female","male","totalFound","pr_women"
"adamilton",17,0,16,16,0
"adamir",16,0,15,15,0
"adamires",1,0,1,1,0
"adamis",1,0,1,1,0
"adamo",8,0,7,7,0
"ádamo",1,0,1,1,0
"àdamo",1,0,1,1,0
"adamor",35,0,32,32,0
"adams",5,0,5,5,0
"adan",4,0,4,4,0
"adanair",1,0,1,1,0
"adanex",1,0,1,1,0
"adaniel",1,0,1,1,0
"adanige",1,0,1,1,0
"adanildson",1,0,1,1,0
"adanilo",14,0,14,14,0
"adanilson",4,0,4,4,0
"adanilton",4,0,4,4,0
"adanison",2,0,2,2,0
"adanito",3,0,3,3,0
"adano",1,0,1,1,0
"adans",4,0,4,4,0
"adanubi",1,0,1,1,0
"adao",847,0,813,813,0
"adáo",1,0,1,1,0
"adâo",1,0,1,1,0
"adão",2234,0,2168,2168,0
"adaocy",1,0,1,1,0
"adaoneli",1,0,1,1,0
"adãoneli",1,0,1,1,0
"adaoney",1,0,1,1,0
"adaonildo",3,0,3,3,0
"adaor",1,0,1,1,0
"adaoxilio",1,0,1,1,0
"adãoxilio",1,0,1,1,0
"adãozinho",2,0,2,2,0
"adaquir",1,0,1,1,0
"adarcino",1,0,1,1,0
"adari",1,0,1,1,0
"adarico",2,0,2,2,0
"adarildes",1,0,1,1,0
"adarilson",2,0,2,2,0
"adarilton",1,0,1,1,0
"adario",13,0,13,13,0
"adário",2,0,2,2,0
"adarlan",6,0,6,6,0
"adarlei",3,0,2,2,0
"adarrilton",1,0,1,1,0
"adasio",2,0,2,2,0
"adasnebis",1,0,1,1,0
"adason",1,0,1,1,0
"adativo",1,0,1,1,0
"adau",1,0,1,1,0
"adauberon",3,0,3,3,0
"adauberto",2,0,2,2,0
"adaucto",4,0,4,4,0
"adaúde",1,0,1,1,0
"adaulio",3,0,3,3,0
"adaulto",5,0,5,5,0
"adaunair",1,0,1,1,0
"adauricio",3,0,3,3,0
"adaurilio",1,0,1,1,0
"adaurio",2,0,2,2,0
"adaury",8,0,6,6,0
"adautino",3,0,3,3,0
"adautivo",5,0,5,5,0
"adauto",628,0,602,602,0
"adauton",9,0,7,7,0
"adavanir",2,0,2,2,0
"adavilson",10,0,10,10,0
"adavio",1,0,1,1,0
"adavir",1,0,1,1,0
"adaylton",2,0,2,2,0
"adayr",11,0,10,10,0
"adaziel",1,0,1,1,0
"adbala",1,0,1,1,0
"adcarliton",3,0,3,3,0
"adcemir",1,0,1,1,0
"addir",4,0,4,4,0
"addison",3,0,3,3,0
"addonys",2,0,2,2,0
"addson",1,0,1,1,0
"ade",2,0,2,2,0
"adeal",2,0,2,2,0
"adealdo",1,0,1,1,0
"adean",4,0,4,4,0
"adeanderson",1,0,1,1,0
"adeanson",1,0,1,1,0
"adear",1,0,1,1,0
"adebal",2,0,2,2,0
"adebalde",2,0,1,1,0
"adebaldo",23,0,20,20,0
"adebelto",1,0,1,1,0
"adeberto",1,0,1,1,0
"adebiano",1,0,1,1,0
"adébio",1,0,1,1,0
"adeblá",1,0,1,1,0
"adebrair",4,0,4,4,0
"adecar",1,0,1,1,0
"adecarlos",1,0,1,1,0
"adecildo",2,0,2,2,0
"adecilvo",3,0,3,3,0
"adecimar",1,0,1,1,0
"adecimo",2,0,2,2,0
"adécimo",3,0,2,2,0
"adecio",24,0,20,20,0
"adécio",12,0,11,11,0
"adecir",9,0,9,9,0
"adecivaldo",1,0,1,1,0
"adeclino",2,0,2,2,0
"adecrie",2,0,2,2,0
"adecson",2,0,2,2,0
"adecy",1,0,1,1,0
"adedi",4,0,3,3,0
"adedino",2,0,2,2,0
"adedy",1,0,1,1,0
"adegaer",2,0,2,2,0
"adegair",2,0,2,2,0
"adegar",1,0,1,1,0
"adegicio",1,0,1,1,0
"adegil",1,0,1,1,0
"adegildo",8,0,6,6,0
"adegilson",13,0,13,13,0
"adegir",4,0,4,4,0
"adehildo",1,0,1,1,0
"adehon",1,0,1,1,0
"adei",2,0,2,2,0
"adeico",1,0,1,1,0
"adeide",1,0,1,1,0
"adeido",1,0,1,1,0
"adeil",9,0,9,9,0
"adeildo",202,0,196,196,0
"adeíldo",1,0,1,1,0
"adeilmo",2,0,1,1,0
"adeilso",3,0,3,3,0
"adeílso",1,0,1,1,0
"adeilsom",2,0,2,2,0
"adeilson",208,0,197,197,0
"adeílson",2,0,2,2,0
"adeilto",11,0,11,11,0
"adeilton",201,0,194,194,0
"adeílton",2,0,2,2,0
"adeilzo",1,0,1,1,0
"adeires",1,0,1,1,0
"adeíres",1,0,1,1,0
"adeirton",1,0,1,1,0
"adeisio",1,0,1,1,0
"adeisso",4,0,4,4,0
"adeiton",1,0,1,1,0
"adejacir",1,0,1,1,0
"adejaime",3,0,3,3,0
"adejair",28,0,26,26,0
"adejal",1,0,1,1,0
"adejaldo",1,0,1,1,0
"adejalma",2,0,2,2,0
"adejalmo",5,0,1,1,0
"adejamir",1,0,1,1,0
"adejanes",2,0,2,2,0
"adejanio",2,0,2,2,0
"adejar",10,0,10,10,0
"adejarme",2,0,2,2,0
"adejir",1,0,1,1,0
"adejunio",2,0,2,2,0
"adel",30,0,28,28,0
"adeladio",13,0,13,13,0
"adeládio",1,0,1,1,0
"adelaidio",1,0,1,1,0
"adelaido",8,0,8,8,0
"adelande",1,0,1,1,0
"adelandio",3,0,3,3,0
"adelândio",2,0,2,2,0
"adelange",1,0,1,1,0
"adelanio",3,0,2,2,0
"adelano",3,0,3,3,0
"adelar",328,0,320,320,0
"adelardo",3,0,3,3,0
"adelario",2,0,2,2,0
"adelarmo",1,0,1,1,0
"adelazio",2,0,2,2,0
"adelbanio",2,0,2,2,0
"adelbar",1,0,1,1,0
"adelbarto",1,0,1,1,0
"adelberto",1,0,1,1,0
"adelbrandino",3,0,3,3,0
"adelcides",6,0,6,6,0
"adelcimar",6,0,5,5,0
"adelcinei",2,0,2,2,0
"adelcino",8,0,8,8,0
"adelcio",104,0,98,98,0
"adélcio",19,0,19,19,0
"adelcione",1,0,1,1,0
"adelcir",10,0,10,10,0
"adelco",3,0,3,3,0
"adelço",6,0,6,6,0
"adelçon",2,0,2,2,0
"adeldir",2,0,2,2,0
"adeldivo",1,0,1,1,0
"adelecio",1,0,1,1,0
"adeleir",3,0,3,3,0
"adelelmo",4,0,4,4,0
"adelenilson",1,0,1,1,0
"adeles",1,0,1,1,0
"adelessandro",1,0,1,1,0
"adelfo",6,0,6,6,0
"adelfran",2,0,2,2,0
"adelgicio",7,0,5,5,0
"adelgício",1,0,1,1,0
"adelgisio",1,0,1,1,0
"adelgistro",1,0,1,1,0
"adelgson",1,0,1,1,0
"adeliaides",1,0,1,1,0
"adelian",1,0,1,1,0
"adeliano",2,0,2,2,0
"adeliar",3,0,3,3,0
"adelias",1,0,1,1,0
"adelicio",33,0,33,33,0
"adelício",10,0,10,10,0
"adelico",1,0,1,1,0
"adelidio",1,0,1,1,0
"adelimario",1,0,1,1,0
"adelino",637,0,607,607,0
"adelio",121,0,118,118,0
"adélio",47,0,46,46,0
"adelipio",2,0,2,2,0
"adelirio",11,0,11,11,0
"adelírio",1,0,1,1,0
"adelito",3,0,3,3,0
"adelivaldo",1,0,1,1,0
"adeljon",2,0,2,2,0
"adeljorge",2,0,2,2,0
"adelmar",67,0,61,61,0
"adelmarcio",1,0,1,1,0
"adelmario",3,0,3,3,0
"adelmário",2,0,2,2,0
"adelmaro",4,0,4,4,0
"adelmarxmo",1,0,1,1,0
"adelme",1,0,1,1,0
"adelmiço",1,0,1,1,0
